TAG,NAME,DESCRIPTION
M,bat,""
M,buku,""
M,breeze-cursor-theme,""
M,breeze-gtk-theme,""
M,compton,""
M,ffmpeg,""
M,ffmpegthumbnailer,""
M,firefox,""
M,firefox-locale-es,""
M,fonts-fork-awesome,""
M,fonts-noto-color-emoji,""
M,fonts-noto-core,""
M,fonts-noto-extra,""
M,fonts-noto-hinted,""
M,fonts-noto-mono,""
M,fonts-noto-ui-core,""
M,fonts-noto-unhinted,""
M,fonts-opensymbol,""
M,fonts-powerline,"" M,fonts-symbola,""
M,fonts-ubuntu,""
M,freerdp2-x11,""
M,fzf,""
M,gimp,""
M,git,""
M,httpie,""
M,i3,""
M,i3-wm,""
M,i3blocks,""
M,i3lock,""
M,i3lock-fancy,""
M,i3status,""
M,imagemagick,""
M,j4-dmenu-desktop,""
M,jq,""
M,kdeconnect,""
M,lm-sensors,""
M,miller,""
M,mktorrent,""
M,mpc,""
M,mpd,""
M,mpv,""
M,ncmpcpp,""
M,neomutt,""
M,neovim,""
M,network-manager,""
M,network-manager-gnome,""
M,network-manager-openvpn,""
M,network-manager-openvpn-gnome,""
M,newsboat,""
M,nmap,""
M,npm,""
M,nvidia-cg-dev:amd64,""
M,nvidia-cg-toolkit,""
M,nvidia-compute-utils-460,""
M,nvidia-dkms-460,""
M,nvidia-driver-455,""
M,nvidia-driver-460,""
M,nvidia-kernel-common-460,""
M,nvidia-kernel-source-460,""
M,nvidia-prime,""
M,nvidia-settings,""
M,nvidia-utils-460,""
M,openssh-client,""
M,openssh-server,""
M,openvpn,""
M,pandoc,""
M,papirus-icon-theme,""
M,pass,""
M,pass-extension-otp,""
M,passwd,""
M,webext-browserpass,""
M,pastebinit,""
M,pulsemixer,""
M,ranger,""
M,redshift,""
M,rename,""
M,ripgrep,""
M,rtorrent,""
M,rxvt-unicode-256color,""
M,shellcheck,""
M,speedtest-cli,""
M,sxhkd,""
M,sxiv,""
M,tesseract-ocr,""
M,tesseract-ocr-spa,""
M,tldr,""
M,tmux,""
M,vifm,""
M,visidata,""
M,weechat,""
M,whois,""
M,xclip,""
M,xss-lock,""
M,xwallpaper,""
M,zathura,""
M,zathura-pdf-poppler,""
M,zbar-tools,""
M,zsh,""
M,zsh-autosuggestions,""
M,zsh-syntax-highlighting,""
P,protonvpn-cli,""
P,streamlink,""
P,ueberzug,""
P,youtube-dl,""
P,yt-dlp,""
S,btop,""
S,dust,""
S,netbeans,""
S,spotify,""
